Timestamp,arm_freq,arm_freq_min,core_freq,core_freq_min,gpu_freq,gpu_freq_min,over_voltage_avs,over_voltage_avs_boost,sdram_freq,arm: frequency(48),core: frequency(1),h264: frequency(28),isp: frequency(45),v3d: frequency(46),core: volt,sdram_c: volt,sdram_i: volt,sdram_p: volt,temp,throttled
2024-02-14 18:36:30,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,68.8,0x0
2024-02-14 18:42:26,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-14 18:43:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.6,0x0
2024-02-14 18:58:38,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-14 19:14:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-14 19:30:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-14 19:46:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,65.5,0x0
2024-02-14 20:02:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,66.1,0x0
2024-02-14 20:18:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
2024-02-14 20:33:24,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,62.3,0x0
2024-02-14 20:48:38,600000000,600,320000000,,300,,31250,0x1b774,450,600000000,320000000,0,300000000,300000000,1.2313,1.2500,1.2500,1.2250,63.4,0x0
