Timestamp,Duration
2024-04-19 19:00:04,0:00:08
2024-04-19 19:00:53,0:00:09
2024-04-19 19:15:03,0:00:08
2024-04-19 20:52:56,0:00:12
2024-04-19 20:53:10,0:00:17
2024-04-19 20:53:36,0:00:06
2024-04-19 20:53:44,0:00:26
2024-04-19 20:54:11,0:00:57
2024-04-19 20:55:09,0:01:06
2024-04-19 20:56:16,0:00:27
2024-04-19 20:56:48,0:07:28
2024-04-19 22:00:08,0:00:17
2024-04-19 22:06:51,0:13:30
2024-04-20 01:00:33,0:00:13
2024-04-20 01:20:42,0:00:20
2024-04-20 01:21:15,0:00:12
2024-04-20 01:21:31,0:00:16
2024-04-20 01:21:50,0:01:03
2024-04-20 01:22:54,0:00:32
2024-04-20 01:23:37,0:00:18
2024-04-20 01:24:02,0:01:00
2024-04-20 01:25:03,0:00:33
2024-04-20 01:25:39,0:00:43
2024-04-20 01:26:25,0:05:50
2024-04-20 01:32:20,0:17:14
2024-04-20 03:15:01,0:00:08
2024-04-20 05:08:13,0:12:28
2024-04-20 07:56:20,0:05:08
2024-04-20 08:07:55,0:00:06
2024-04-20 08:42:37,0:01:04
2024-04-20 08:44:32,0:04:08
2024-04-20 08:58:40,0:02:57
2024-04-20 09:06:42,0:00:21
2024-04-20 09:08:36,0:01:38
2024-04-20 09:12:48,0:06:31
2024-04-20 09:23:46,0:00:06
2024-04-20 09:24:47,0:00:24
2024-04-20 09:29:55,0:01:08
2024-04-20 09:35:56,0:00:59
2024-04-20 09:45:31,0:02:09
2024-04-20 09:51:54,0:01:37
2024-04-20 09:54:05,0:00:52
2024-04-20 09:59:40,0:01:06
2024-04-20 10:01:09,0:00:43
2024-04-20 10:02:14,0:00:10
2024-04-20 10:09:41,0:01:10
2024-04-20 10:22:11,0:02:19
2024-04-20 10:26:49,0:00:46
2024-04-20 10:29:14,0:01:04
2024-04-20 10:30:45,0:00:10
2024-04-20 10:34:49,0:00:48
2024-04-20 10:40:21,0:00:07
2024-04-20 10:41:53,0:00:16
2024-04-20 10:43:59,0:00:27
2024-04-20 10:49:06,0:00:06
2024-04-20 11:01:16,0:02:32
2024-04-20 11:08:02,0:00:15
2024-04-20 11:09:07,0:00:08
2024-04-20 11:09:28,0:00:21
2024-04-20 11:10:06,0:00:07
2024-04-20 11:14:03,0:00:16
2024-04-20 11:14:39,0:00:07
2024-04-20 11:14:57,0:00:20
2024-04-20 11:18:49,0:01:49
2024-04-20 11:23:54,0:00:07
2024-04-20 11:27:10,0:00:08
2024-04-20 11:28:15,0:00:17
2024-04-20 11:29:08,0:00:28
2024-04-20 11:30:02,0:00:35
2024-04-20 11:31:19,0:00:06
2024-04-20 11:33:14,0:00:17
2024-04-20 11:38:31,0:00:26
2024-04-20 11:39:36,0:00:06
2024-04-20 11:39:43,0:00:09
2024-04-20 11:40:00,0:01:23
2024-04-20 11:43:25,0:00:52
2024-04-20 11:50:36,0:00:06
2024-04-20 11:51:19,0:01:45
2024-04-20 11:54:20,0:00:09
2024-04-20 11:55:04,0:00:28
2024-04-20 11:55:38,0:00:12
2024-04-20 11:56:09,0:00:06
2024-04-20 11:56:16,0:00:24
2024-04-20 11:56:49,0:00:50
2024-04-20 11:58:10,0:00:10
2024-04-20 12:01:31,0:01:05
2024-04-20 12:03:10,0:00:08
2024-04-20 12:05:35,0:00:52
